setting_id,category,value,unit,status,source_reference,notes
TRIP_RECEIVE_DELAY_MS,A_PROTECTION,20,ms,PROVISIONAL,config/ecms_a_settings.csv,GT Trip signal receive delay
LOCKOUT_OPERATE_DELAY_MS,A_PROTECTION,35,ms,PROVISIONAL,config/ecms_a_settings.csv,86GT operate delay after trip receive
GT_BREAKER_OPEN_DELAY_MS,A_PROTECTION,80,ms,PROVISIONAL,config/ecms_a_settings.csv,52GT trip/open timing from GT Trip episode
UNDERVOLTAGE_PICKUP_PU,A_PROTECTION,0.80,pu,PROVISIONAL,config/ecms_a_settings.csv,6.9 kV bus 27UV pickup
UNDERVOLTAGE_DELAY_MS,A_PROTECTION,300,ms,PROVISIONAL,config/ecms_a_settings.csv,27UV continuous low-voltage delay
ST_TRIP_POWER_PU,A_CONTROL,0.20,pu,PROVISIONAL,config/ecms_a_settings.csv,VPP state transition threshold only; not claimed as plant trip setting
ST_BREAKER_OPEN_DELAY_MS,A_PROTECTION,100,ms,PROVISIONAL_DISABLED,config/ecms_a_settings.csv,Kept for traceability but not enabled until C&E validation
AUTO_BUS_TIE_TRANSFER,A_CONTROL,0,BOOL,PROVISIONAL,config/ecms_a_settings.csv,Disabled by default; core exposes auto-close permissive only
ALLOW_SOURCE_PARALLEL,A_CONTROL,0,BOOL,PROVISIONAL,config/ecms_a_settings.csv,No synchronism model so parallel close remains prohibited
LOGIC_SAMPLE_TIME_MS,A_SYSTEM,1,ms,MIGRATION_DESIGN,TripLens migration design,Protection logic core standalone sample time; rate adapter required when main co-sim runs slower
