signal,alarm_type,direction,threshold_m,hysteresis_m,delay_s,status,source_rule
hp_drum_level,H,HIGH,1.15,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-101
hp_drum_level,HH,HIGH,1.25,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-102
hp_drum_level,L,LOW,0.95,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-103
hp_drum_level,LL,LOW,0.85,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-104
ip_drum_level,H,HIGH,1.15,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-111
ip_drum_level,HH,HIGH,1.25,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-112
ip_drum_level,L,LOW,0.95,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-113
ip_drum_level,LL,LOW,0.85,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-114
lp_drum_level,H,HIGH,1.85,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-121
lp_drum_level,HH,HIGH,1.95,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-122
lp_drum_level,L,LOW,1.65,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-123
lp_drum_level,LL,LOW,1.55,0.02,0.5,MODEL_ABSOLUTE_NOT_PLANT_APPROVED,D2-124
